130078	1	3
108912	1	4
120245	1	2
110246	1	5
130056	1	3
167856	1	4
104512	1	4
110245	1	5
120212	1	3
130080	1	4
130054	1	4
130078	2	5
108912	2	5
120245	2	4
110246	2	3
130056	2	5
167856	2	5
104512	2	4
110245	2	2
120212	2	5
130054	2	3
130078	3	4
108912	3	4
120245	3	4
110246	3	4
130056	3	3
167856	3	5
104512	3	4
110245	3	3
120212	3	5
130080	3	5
130054	3	5
130078	4	2
108912	4	5
120245	4	4
110246	4	3
130056	4	4
167856	4	3
104512	4	3
110245	4	4
120212	4	3
130054	4	1
130078	5	5
110246	5	4
130056	5	3
167856	5	3
110245	5	2
130054	5	3
108912	6	3
120245	6	4
104512	6	4
120212	6	2
130078	7	3
108912	7	4
120245	7	2
110246	7	5
130056	7	3
167856	7	4
104512	7	4
110245	7	5
120212	7	3
130080	7	5
130054	7	3
130078	8	3
108912	8	4
120245	8	2
110246	8	5
130056	8	3
167856	8	2
104512	8	4
110245	8	5
120212	8	2
130054	8	5
130078	9	3
108912	9	4
120245	9	2
110246	9	5
130056	9	3
167856	9	4
104512	9	4
110245	9	5
120212	9	3
130054	9	2
130078	10	3
108912	10	4
120245	10	2
110246	10	5
130056	10	3
167856	10	4
104512	10	4
110245	10	5
120212	10	3
130054	10	4
130078	11	3
108912	11	4
120245	11	2
110246	11	5
130056	11	3
167856	11	4
104512	11	4
110245	11	5
120212	11	3
130054	11	4
130078	12	4
110246	12	5
130056	12	3
167856	12	5
110245	12	4
130054	12	4
108912	13	3
120245	13	4
104512	13	3
120212	13	5
